split,lda,lda+ot,lr,lr+ot,lda_cbst,lda_cbst+ot,lr_cbst,lr_cbst+ot,ens_cbst,ens_cbst+ot,ens_cbst_prop,ens_cbst_prop+ot,lda_cbstb,lda_cbstb+ot,lr_cbstb,lr_cbstb+ot,ens_cbstb,ens_cbstb+ot,lda_em,lda_em+ot,em_ensb,em_ensb+ot,batch,n
lobo1,0.4418135234573695,0.6499086377316592,0.4822962323947843,0.42087833486979204,0.26684695305158385,0.30224815420345597,0.4715321288510257,0.43726034142660586,0.29363657005951854,0.422766198909095,0.300507232924172,0.6247053996784436,0.8229055317489636,0.8895338677231895,0.3844575017632146,0.4305076971543216,0.7840900239721383,0.5946794442377467,0.7552446061611757,0.7494888081297958,0.7617647973494991,0.7670486883223285,1,445
lobo2,0.8935239535248831,0.9273904648112441,0.9682883802652782,0.9821531567425598,0.9227114859529165,0.9405084322101159,0.9741345811439014,0.9833267788822623,0.9431145520108118,0.9825385859482448,0.9735043962842718,0.9866970737769348,0.9330012291930664,0.9406768912848915,0.9595370288872851,0.9835666794839839,0.9424203515139022,0.9846851421734087,0.8008376262500055,0.8016659719293845,0.8815258916920166,0.9570672151441717,2,1244
lobo3,0.9888202211050974,0.9889485091200706,0.9827529624322932,0.9825166173826243,0.9879245271759706,0.9862001312610837,0.9816467124024738,0.9846182125445868,0.9879245271759706,0.9861140818115498,0.9865628359526116,0.9854656535540978,0.9881284007743394,0.9853520965603998,0.9816467124024738,0.985567849217917,0.9881284007743394,0.9858624472735642,0.989440567194783,0.9902684126248396,0.9891639576589141,0.9881159855810523,3,1586
lobo4,0.8703118046533478,0.8343094557975667,0.9418197206940331,0.9065704597185018,0.8674664954946124,0.8556055945203231,0.9418197206940331,0.9065704597185018,0.8719899225212802,0.9192210072631495,0.8848556993341206,0.8941116231438813,0.8674664954946124,0.8992180739948716,0.9343313680252926,0.9065704597185018,0.8719899225212802,0.9364204202344271,0.7460556719586647,0.7582394168769274,0.7460556719586647,0.9253903428626586,4,161
lobo5,0.9875100904514162,0.9932969917221885,0.9863486842105263,0.9932969917221885,0.9875100904514162,0.9932969917221885,0.9863486842105263,0.9932969917221885,0.9875100904514162,0.9932969917221885,0.9932969917221885,0.9932969917221885,0.9875100904514162,0.9932969917221885,0.9863486842105263,0.9932969917221885,0.9875100904514162,0.9932969917221885,0.9875100904514162,0.9932969917221885,0.9875100904514162,0.9932969917221885,5,197
lobo6,0.9727325508798094,0.9830522378243933,0.9342047889097896,0.985831295789688,0.9824146662348786,0.9851939009087056,0.9661880871413606,0.9880358522011902,0.9883859997752332,0.991348475691189,0.991041199544545,0.9904505386134804,0.9824146662348786,0.9851939009087056,0.968538321458143,0.9880358522011902,0.9883859997752332,0.991348475691189,0.98736313993879,0.9883764565686731,0.98736313993879,0.9913389343158131,6,2300
lobo7,0.993134324664303,0.9961237358396295,0.970410540040644,0.9958507000082921,0.9956406125623148,0.9979576258714421,0.9934431806846097,0.9972429240451292,0.996160783367061,0.998236798904983,0.9990134505773,0.9990134505773,0.998236798904983,0.9987546757538022,0.9956666899945256,0.9972283504434772,0.998236798904983,0.9990134505773,0.9969406795499175,0.9979762324600417,0.9979574257085945,0.998236798904983,7,3613
lobo8,0.9319583913883562,0.9516632868029383,0.8782042524816144,0.8659187122841933,0.9620421569718413,0.9620524895650223,0.8743111571151633,0.8637966286909867,0.9620421569718413,0.9454165871974092,0.9418111963383593,0.9436032418027606,0.9620421569718413,0.9620524895650223,0.8868316240158073,0.8690955023690977,0.9620421569718413,0.945748161515612,0.9327325219165918,0.951192961756342,0.9438930662854427,0.9381573539248045,8,294
lobo9,0.7317153549073999,0.9490055975770262,0.8838252118900413,0.9668899075699725,0.739321310789273,0.9571010366036069,0.968700911545512,0.9731811900193428,0.9089517140312733,0.9730780541629226,0.9695099455135893,0.9709307076893284,0.967897185970657,0.9629561282487096,0.9706848625949028,0.977598081284945,0.9676872193069511,0.9797182739723018,0.9595544732540371,0.9619072130149798,0.9658085795716458,0.9795018008597652,9,470
fwd7,0.9744491266019683,0.9865338120002556,0.8880759366139935,0.924450632104911,0.9972153190878208,0.99851084205009,0.9489192518196843,0.9748178304489438,0.9969715457839161,0.9972716294006653,0.9987696167724134,0.9987730169614011,0.9984957921923782,0.9990134505773,0.9469687954441816,0.95025552015783,0.9980081831730551,0.9948237107465605,0.9977508488613407,0.997506418190954,0.997991131575129,0.997991131575129,7,3613
fwd8,0.8720338238917384,0.8683428144134409,0.8443041197466127,0.8191227689077153,0.9197092855945481,0.9350853242628062,0.845315941368573,0.8433818583254674,0.9197092855945481,0.9312574897425718,0.9482933895849747,0.9261063379529494,0.9264700370378504,0.9472376747502076,0.8470904745410324,0.8334273544241343,0.919783902126793,0.9265361102317464,0.7831664106678239,0.8021072862052745,0.8277373945978597,0.8905317895643013,8,294
fwd9,0.7317153549073999,0.9490055975770262,0.8838252118900413,0.9668899075699725,0.739321310789273,0.9571010366036069,0.968700911545512,0.9731811900193428,0.9089517140312733,0.9730780541629226,0.9695099455135893,0.9709307076893284,0.967897185970657,0.9629561282487096,0.9706848625949028,0.977598081284945,0.9676872193069511,0.9797182739723018,0.9595544732540371,0.9619072130149798,0.9658085795716458,0.9795018008597652,9,470
