split,lda,lda+ot,lr,lr+ot,lda_cbst,lda_cbst+ot,lr_cbst,lr_cbst+ot,ens_cbst,ens_cbst+ot,ens_cbst_prop,ens_cbst_prop+ot,lda_cbstb,lda_cbstb+ot,lr_cbstb,lr_cbstb+ot,ens_cbstb,ens_cbstb+ot,lda_em,lda_em+ot,em_ensb,em_ensb+ot,batch,n
lobo1,0.3967948891856386,0.6331501209243797,0.4393339056610419,0.40798027724984315,0.2729414585399871,0.30067161090416905,0.45908743904384314,0.4251188750668294,0.29082178337409786,0.4275980237759873,0.28564146649253036,0.6819932758369486,0.8609608383437627,0.8948919035314135,0.36711941406421206,0.41578506419927624,0.7658815729696956,0.6350284130746314,0.48240845237897556,0.4822967621659157,0.5040285289882187,0.6389197602444009,1,445
lobo2,0.8913826245626518,0.918959080798611,0.9743387277345991,0.9813836899980503,0.9436678761056329,0.9405337870749296,0.975260632375737,0.9833267788822623,0.9558332738037856,0.9813633867530691,0.9755037221502173,0.9869985032888259,0.9451160867681723,0.9432491775510724,0.9766167897210414,0.985069529516367,0.9564773540644658,0.9802963517870772,0.798470159217476,0.7998408628130999,0.8537480080865217,0.95244120340606,2,1244
lobo3,0.9892325565174328,0.9889485091200706,0.9831042463465229,0.981403412947366,0.9885440286881293,0.9869857466595203,0.9827052646679618,0.9839646529173474,0.9878784147987327,0.9869566307652967,0.9869634528019866,0.9852386448695951,0.988539025251354,0.9868320253847551,0.9823079081693542,0.9839646529173474,0.988539025251354,0.9866887430049267,0.9887146176270857,0.9888490682302422,0.9887146176270857,0.988253366182675,3,1586
lobo4,0.8848556993341206,0.8650979300102108,0.943154305200341,0.9065704597185018,0.8674664954946124,0.8470820930886905,0.9410063784549964,0.9065704597185018,0.8719899225212802,0.8805927952576379,0.8674664954946124,0.8713843504166086,0.8719899225212802,0.8881368349533755,0.9305255925798696,0.9065704597185018,0.8779666402473421,0.9364204202344271,0.7460556719586647,0.7523707017323503,0.7460556719586647,0.9181253460860811,4,161
lobo5,0.9875100904514162,0.9932969917221885,0.9863486842105263,0.9932969917221885,0.9875100904514162,0.9932969917221885,0.9863486842105263,0.9932969917221885,0.9875100904514162,0.9932969917221885,0.9932969917221885,0.9932969917221885,0.9875100904514162,0.9932969917221885,0.9863486842105263,0.9932969917221885,0.9875100904514162,0.9932969917221885,0.9875100904514162,0.9932969917221885,0.9875100904514162,0.9932969917221885,5,197
lobo6,0.9748807844385229,0.9855079149901261,0.9354340004516031,0.9848851689249606,0.9827232704378065,0.9851939009087056,0.9616754258723678,0.9877201360000357,0.9855020533526201,0.991041199544545,0.988070780601389,0.9901430088776618,0.9827232704378065,0.9851939009087056,0.9642162254950156,0.9880358522011902,0.9855020533526201,0.991041199544545,0.986733069470768,0.9880607395519238,0.9844948241502185,0.9910393457760106,6,2300
lobo7,0.9961718686921861,0.9987557230922955,0.979801097042158,0.9979803748910802,0.9943380555563106,0.9987546757538022,0.9970662190439866,0.998738364327476,0.9966804793998074,0.9990134505773,0.9964206902281941,0.9990134505773,0.9964206902281941,0.9990134505773,0.9979813805696257,0.9984795897313541,0.997718479192022,0.9990134505773,0.9969419811930605,0.9987557230922955,0.9969419811930605,0.998236798904983,7,3613
lobo8,0.9244589981184576,0.9410572261968776,0.8674892694381274,0.8641854184813788,0.9315818257658957,0.9516632868029383,0.8607822509664032,0.867530734900391,0.928018605173032,0.9281867599675819,0.9195948728648244,0.9432619129628169,0.9468937319596914,0.9567485173118976,0.8810827309146009,0.8637309852308294,0.9493190578628597,0.9458857276665497,0.9206858087740358,0.9479853407521109,0.9260418462753915,0.9496477235866411,8,294
lobo9,0.7340525233951528,0.9193023906436122,0.7630625716282443,0.957178726580144,0.7397696371384179,0.8238383231745329,0.9639794781437266,0.9703087481877474,0.7413798653904892,0.9677918623401797,0.7441605009070291,0.9665230868433513,0.9653870236268843,0.9645785380199631,0.9639794781437266,0.9747221969714603,0.9676872193069511,0.9797182739723018,0.9269450790889137,0.9496659425693567,0.9531672269654669,0.9795018008597652,9,470
fwd7,0.9728284491208806,0.9844467425228536,0.8928058309792273,0.9392536913331008,0.9912173914581685,0.9977137933369306,0.9531946132181123,0.9739038385235071,0.9922832771087283,0.9975233284793604,0.9925270212603446,0.9984945305225894,0.9979776949019588,0.9990134505773,0.9771954785987548,0.9761001949648002,0.9985258407485814,0.9980255467605866,0.998529079604976,0.9980468014366523,0.998529079604976,0.9987696167724134,7,3613
fwd8,0.8720338238917384,0.8672204799577733,0.8341310221400122,0.817573084024697,0.91797071614398,0.9282754385356301,0.838334944643537,0.8259914659398587,0.918222701676575,0.9237628060636776,0.9256401568361334,0.9205507823973939,0.9285021334992373,0.929145285180459,0.8406088905042121,0.8311420018793291,0.920210270973029,0.9237628060636776,0.7864673699177591,0.7986703482349397,0.8144818458159951,0.8865804762028541,8,294
fwd9,0.7340525233951528,0.9193023906436122,0.7630625716282443,0.957178726580144,0.7397696371384179,0.8238383231745329,0.9639794781437266,0.9703087481877474,0.7413798653904892,0.9677918623401797,0.7441605009070291,0.9665230868433513,0.9653870236268843,0.9645785380199631,0.9639794781437266,0.9747221969714603,0.9676872193069511,0.9797182739723018,0.9269450790889137,0.9496659425693567,0.9531672269654669,0.9795018008597652,9,470
