variant,b8,n_seeds_b8,weighted_678
a2b,0.8951734447484805,1,0.8951734447484805
a5b,0.8018955815323431,1,0.8018955815323431
a3,0.7677578100248491,1,0.7677578100248491
a7b,0.7270135456252181,1,0.7270135456252181
a9b,0.7129496550618954,1,0.7129496550618954
